description,has_signal
Q8TF40|EUKARYA|NO_SP|0,0
Q1ENB6|EUKARYA|NO_SP|1,0
P36001|EUKARYA|NO_SP|2,0
P55317|EUKARYA|NO_SP|0,0
P35583|EUKARYA|NO_SP|0,0
Q9PSY4|EUKARYA|NO_SP|0,0
P55316|EUKARYA|NO_SP|1,0
F4K2A1|EUKARYA|NO_SP|0,0
B0YLW8|EUKARYA|NO_SP|1,0
Q9SZL8|EUKARYA|NO_SP|2,0
O82533|EUKARYA|NO_SP|0,0
Q99PF5|EUKARYA|NO_SP|0,0
Q91904|EUKARYA|NO_SP|2,0
Q9URU9|EUKARYA|NO_SP|1,0
P53913|EUKARYA|NO_SP|1,0
O60318|EUKARYA|NO_SP|0,0
Q7Z7B0|EUKARYA|NO_SP|1,0
Q6P8X9|EUKARYA|NO_SP|1,0
P53233|EUKARYA|NO_SP|0,0
Q06787|EUKARYA|NO_SP|0,0
Q8W493|EUKARYA|NO_SP|2,0
Q12676|EUKARYA|NO_SP|2,0
P21525|EUKARYA|NO_SP|0,0
O00358|EUKARYA|NO_SP|0,0
Q9C0B1|EUKARYA|NO_SP|2,0
P02835|EUKARYA|NO_SP|1,0
Q9FV81|EUKARYA|NO_SP|2,0
P49027|EUKARYA|NO_SP|0,0
O42248|EUKARYA|NO_SP|0,0
Q09312|EUKARYA|NO_SP|1,0
Q945P0|EUKARYA|NO_SP|1,0
Q5HY92|EUKARYA|NO_SP|1,0
Q8NFG4|EUKARYA|NO_SP|2,0
Q9LGE3|EUKARYA|NO_SP|1,0
F4IMQ0|EUKARYA|NO_SP|2,0
Q3E7I5|EUKARYA|NO_SP|0,0
Q6NQJ7|EUKARYA|NO_SP|1,0
Q5TBA9|EUKARYA|NO_SP|1,0
O95073|EUKARYA|NO_SP|2,0
Q05015|EUKARYA|NO_SP|1,0
Q75W17|EUKARYA|NO_SP|0,0
Q9H469|EUKARYA|NO_SP|0,0
Q6P050|EUKARYA|NO_SP|2,0
Q9UTG6|EUKARYA|NO_SP|2,0
Q9CZS3|EUKARYA|NO_SP|0,0
Q9I9E1|EUKARYA|NO_SP|1,0
Q14331|EUKARYA|NO_SP|2,0
P42685|EUKARYA|NO_SP|1,0
Q9UTI1|EUKARYA|NO_SP|0,0
Q8N1E6|EUKARYA|NO_SP|1,0
P04406|EUKARYA|NO_SP|2,0
Q06179|EUKARYA|NO_SP|1,0
P32785|EUKARYA|NO_SP|1,0
A2RVV7|EUKARYA|NO_SP|1,0
O04862|EUKARYA|NO_SP|1,0
Q70KY4|EUKARYA|NO_SP|0,0
Q9P7X3|EUKARYA|NO_SP|1,0
Q86XJ1|EUKARYA|NO_SP|1,0
P24522|EUKARYA|NO_SP|1,0
Q6YWF1|EUKARYA|NO_SP|0,0
Q8LK61|EUKARYA|NO_SP|1,0
P14234|EUKARYA|NO_SP|1,0
O89106|EUKARYA|NO_SP|1,0
Q9WTX7|EUKARYA|NO_SP|1,0
Q2V2M9|EUKARYA|NO_SP|2,0
Q9LT47|EUKARYA|NO_SP|1,0
O74191|EUKARYA|NO_SP|2,0
Q96330|EUKARYA|NO_SP|1,0
Q8LPQ9|EUKARYA|NO_SP|0,0
Q6GLS8|EUKARYA|NO_SP|2,0
Q03002|EUKARYA|NO_SP|2,0
P08417|EUKARYA|NO_SP|0,0
O14276|EUKARYA|NO_SP|2,0
P58012|EUKARYA|NO_SP|0,0
Q8K3Q3|EUKARYA|NO_SP|2,0
Q9R1E0|EUKARYA|NO_SP|0,0
Q95V55|EUKARYA|NO_SP|1,0
Q07540|EUKARYA|NO_SP|1,0
P97376|EUKARYA|NO_SP|2,0
Q5SYB0|EUKARYA|NO_SP|1,0
Q9M8J3|EUKARYA|NO_SP|0,0
D3ZXW3|EUKARYA|NO_SP|2,0
P38777|EUKARYA|NO_SP|2,0
