SMILES,MolecularFormula,MolecularWeight,IUPACName,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,Complexity
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C8H10N4O2,194.19,"1,3,7-trimethylpurine-2,6-dione",-0.1,58.4,0,3,0,14,293
CN1C2=C(C(=O)N(C1=O)C)NC=N2,C7H8N4O2,180.16,"1,3-dimethyl-7H-purine-2,6-dione",0,69.3,1,3,0,13,267
CN1C=NC2=C1C(=O)NC(=O)N2C,C7H8N4O2,180.16,"3,7-dimethylpurine-2,6-dione",-0.8,67.2,1,3,0,13,267
CN1C=NC2=C1C(=O)N(C(=O)N2)C,C7H8N4O2,180.16,"1,7-dimethyl-3H-purine-2,6-dione",-0.2,67.2,1,3,0,13,267
CN1C=NC2=C1C(=O)NC(=O)N2,C6H6N4O2,166.14,"7-methyl-3H-purine-2,6-dione",-0.9,76,2,3,0,12,242
CN1C(=O)C2=C(NC1=O)N=CN2,C6H6N4O2,166.14,"1-methyl-3,7-dihydropurine-2,6-dione",-0.3,78.1,2,3,0,12,242
CN1C2=C(C(=O)NC1=O)NC=N2,C6H6N4O2,166.14,"3-methyl-7H-purine-2,6-dione",-0.7,78.1,2,3,0,12,242
CCCCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,C13H20N4O2,264.32,"1-hexyl-3,7-dimethylpurine-2,6-dione",2.3,58.4,0,3,5,19,361
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,C9H12N4O3,224.22,"7-(2-hydroxyethyl)-1,3-dimethylpurine-2,6-dione",-1.2,78.7,1,4,2,16,322
CCCCN1C2=C(C(=O)N(C1=O)CCCC)N(C=N2)CC(=O)C,C16H24N4O3,320.39,"1,3-dibutyl-7-(2-oxopropyl)purine-2,6-dione",1.9,75.5,0,4,8,23,468
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)O,C9H10N4O4,238.2,"2-(1,3-dimethyl-2,6-dioxopurin-7-yl)acetic acid",-0.8,95.7,1,5,2,17,385
