,smiles,are_tox
3901,CC(C)(C)C=C,0
4267,CC(=O)C1=CC=CC=C1[N+]([O-])=O,0
6191,CCCCCCCCCBr,0
4119,Cl.CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,0
4981,CC(C)CCCCCOC(=O)CCS,0
4048,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,0
1101,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,0
3704,CCOC(=O)CCC(C)=O,0
1501,CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O,0
7106,OCC1=C(Cl)C=C(Cl)C=C1,0
5019,CC1=CC(C)=C(C)C=C1C,0
5920,CCCCCCCCCCCCCCCC(=O)OC(C)C,0
577,[H][C@](C)(NCC(C)(C)CN[C@]([H])(C)C(\C)=N\O)C(\C)=N\O,0
59,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]3(F)[C@@]2([H])CCC4=CC(=O)C=C[C@]34C,0
4258,CSC(C)(C)C=NO,0
787,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,0
2995,COP(=S)(OC)OC1=CC=C(C=C1)[N+]([O-])=O,0
5079,CCCCCCCCO,0
6198,CCCCCCCCCCCCC=C,0
5583,[Na+].OCCN1CCN(CCS([O-])(=O)=O)CC1,0
2182,COC(=O)C1=C(C)NC(COC(N)=O)=C(C1C2=C(Cl)C(Cl)=CC=C2)C(=O)OC(C)C,1
4342,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,0
5938,CC(CCl)OC(C)CCl,0
1345,CC(=O)OC1=CC=CC(O)=C1,0
1183,NC(=O)C1=NN(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0
5958,CC(O)C1CCCCC1,0
6576,NC(=O)C1=CC=NC=C1,0
4248,O.CC1=CC=C(C=C1)S(O)(=O)=O,0
3904,C=CC1CC2CC1C=C2,0
2183,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)CCC(=O)OCCO)=C2C,1
6082,CC1=CC=CC(=C1)C(O)=O,0
184,CC1=C(CCN2CCC(CC2)=C(C3=CC=C(F)C=C3)C4=CC=C(F)C=C4)C(=O)N5C=CSC5=N1,1
3250,CC(C)C1=CC=C(NC(=O)N(C)C)C=C1,0
2022,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O,1
420,COC(=O)NC1=NC2=C(N1)C=CC(=C2)S(=O)C3=CC=CC=C3,0
4999,CC(N)CN,0
553,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C2=C(O)C3=CC=CC=C3OC2=O,0
1397,OC(=O)C1=C(I)C=C(I)C(NC(=O)CCOCCOCCOCCOCCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C1I,0
6406,COP(Cl)(=S)OC,0
1872,Cl[Hg]C1=CC=CC=C1,1
4166,CNC(=S)N(C)C,0
5004,CC(O)C1=CC=CC=C1,0
1643,NS(=O)(=O)C1=CC=C(NC(=O)CCC(O)=O)C=C1,0
443,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,0
5219,[O-]S(=O)(=O)C(F)(F)F.CCCC[N+]1(C)CCCCC1,0
3393,[Be++].O.O.O.O.[O-]S([O-])(=O)=O,0
5388,COC(=O)C1=C(C=C(C)C=C1)C2=NC(=O)C(C)(N2)C(C)C,0
1699,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,0
4947,CC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,0
4412,OC(CN1C=NC=N1)(CN2C=NC=N2)C3=C(F)C=C(F)C=C3,0
4428,OCC1=CC=CC=C1,0
1789,NC1=CC(=C(C=CC2=C(C=C(N)C=C2)S(O)(=O)=O)C=C1)S(O)(=O)=O,0
181,CN(CC1=CC=C(C=C1)C(C)(C)C)CC2=CC=CC3=C2C=CC=C3,0
3667,IC(I)I,0
794,CCN1CCCC1CNC(=O)C2=CC(=C(N)C=C2OC)S(=O)(=O)CC,0
1543,CC1=COC2=C(C=CC=C2)C1=O,0
6171,CCCC=O,0
3947,CC(C)(C)NCCNC(C)(C)C,0
5168,OP(O)(=O)CCCl,0
6167,F[B-](F)(F)F.CCCC[N+]1(C)CCCC1,0
3774,CCCC1=CC=C(O)C=C1,0
5992,CN1C(=O)CC(C)(C1=O)C2=CC=CC=C2,0
5807,CCCCCCCCCOC(C)=O,0
2276,OC1=C(Br)C=C(Br)C=C1Br,1
5491,[Cr++].[CH-]1C=CC=C1.[CH-]2C=CC=C2,0
530,[Na+].CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=CC=C3C([O-])=C(NC(=O)C4=CC=C(O)C(CC=C(C)C)=C4)C(=O)OC3=C2C)OC1(C)C,0
5549,[Na+].[S-]C1=CC=CC=C1,0
5743,C1=CC2=C(C=C1)N=CC=C2,0
710,CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,0
5379,CCCCCC1=CCCC1=O,0
2304,CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,1
558,C[N+]([O-])(CCCl)CCCl,0
6035,CC1=CC(O)=CC=C1,0
4104,CCOC1=CC=C(NC(=O)OC(C)C)C=C1OCC,0
1371,N[C@H](CCC(N)=O)C(O)=O,0
7141,OCCOCCOCCO,0
6747,CCCCOC(=O)CCC(C)=O,0
907,Cl.CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,0
3023,NC1=CC=C(N)C2=C1C(=O)C3=CC=CC=C3C2=O,1
1433,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C2=CC=CC=C2)C3=CC=CC=C3,0
2937,CNC(=O)OC1=C(C=CC=C1)C2OCCO2,0
6079,CC1=CC=CC(C)=C1O,0
6342,OC(=O)CC1=C(Cl)C=CC(Cl)=C1Cl,0
5261,CN(C)CCCN,0
6957,CS(=O)(=O)C1=C(COCC(F)(F)F)C(Cl)=C(C=C1)C(=O)C2C(=O)CCCC2=O,0
4463,C=CCCCCCCC=C,0
6897,CC1=CC(=O)CC(C)(C)C1=O,0
5748,C(C1=CC=CC=C1)C2=CC=CC=C2,0
926,Cl.CC(CC1=CC=CC=C1)(NC(=O)CN)C2=CC=CC=C2,0
2579,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,0
3306,[H][C@@]12CC[C@@H](C)[C@]13C[C@@H](C(C)=C(C3)C(C)=O)C2(C)C,0
3641,FC1=C(CCl)C(Cl)=CC=C1,1
15,CC(O)=O.CC1=C(N(CC2=CC=C(OCCN3CCCCCC3)C=C2)C4=C1C=C(O)C=C4)C5=CC=C(O)C=C5,0
6480,COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C=C2O)C=C1,0
315,Cl.OC(=O)C1=CN(C2=CC=C(F)C=C2)C3=C(C=C(F)C(=C3)N4CCNCC4)C1=O,0
2533,ClC1=CC(Cl)=C(OS(=O)(=O)C2=CC=CC=C2)C=C1,0
5091,CCN(CCO)C1=CC(C)=CC=C1,0
1161,CN\C(NCCSCC1=C(C)NC=N1)=N/C#N,0
